code,year,tmin,tmax,tmean,domin,domax,domean,bodmin,bodmax,bodmean,phmin,phmax,phmean,cmin,cmax,cmean,nmin,nmax,nmean,fcmin,fcmax,fcmean,tcmin,tcmax,tcmean
1362,2010,13,19,15.8,6.2,8.4,7.5,1.2,2.8,2,7.82,8.14,8,510,560,528,1.1,2.23,1.92,3,11,7,4,240,55
1362,2011,11,18,14.5,6.8,8.6,7.8,1.4,3.8,2.1,7.5,8,7.8,490,540,509,1.4,2.45,2,2,39,13,14,210,82
1362,2012,9,18,15,6,8.4,7.3,2.3,3.8,3.1,7.1,8,7.5,310,510,401,3.68,6.9,5,4,70,26,35,900,364
1362,2013,10,19,15.4,6.6,8,7.3,0.8,7.2,2.3,7.2,7.9,7.5,320,580,457,0.59,3.36,3,2,12,4,50,170,97
1362,2014,9,20,14.5,7,7.8,7.6,1.1,6.9,2.2,7.6,8.1,7.8,430,490,468,0.1,4.9,4,2,6,4,30,140,94
1364,2003,22,28,24,7.2,11,8.8,1.6,4.6,3.1,7.3,8.6,7.9,298,630,464,0.16,0.16,0.16,28,28,28,210,1100,803
1364,2004,15,32,26,9.2,13.2,10.4,5.2,6.1,5.7,8,8.6,8.2,406,470,446,,,,80,110,100,100,240,205
1364,2005,17,30,23.8,10.1,10.9,10.5,4.2,5.3,4.94,8.1,8.2,8.14,430,480,457.2,3.6,5,4.46,40,100,80,200,250,222
1364,2006,22,32,26,10.1,10.8,10.4,4.8,5.2,4.9,8.2,8.2,8.2,446,460,451,4.2,4.6,4.4,60,90,76,204,230,213
1364,2007,26,28,27,9.2,9.8,9.5,4.4,5.2,4.8,8,8.2,8.1,504,516,510,2.4,3.4,2.9,160,190,175,340,380,360
1364,2009,14,29,23.2,7.9,10.8,9.3,1,2.8,1.8,8.14,8.26,8.2,520,638,551,6.32,7.23,6.66,2,6,3,17,140,93
1364,2010,13,29,24.4,8.2,9.2,8.6,1.5,8.4,4.4,8.14,8.26,8.2,512,670,572,1.1,15.06,12,2,7,5,220,300,260
1364,2011,15,30,24.8,8.4,8.8,8.6,1.9,44,7.6,8.1,8.8,8.3,518,678,621,0.74,2.45,2,4,23,12,17,240,121
1364,2012,14,31,23,7.9,8.8,8.3,2,14,5,8.1,8.8,8.3,602,704,648,1,5.56,3,4,6,5,17,1100,200
1364,2013,12,25,20.8,8.2,9.2,8.7,1.6,3.8,2.3,8.1,8.3,8.2,576,710,638,0.27,9.99,6,,,,70,500,212
1364,2014,13,27,20.8,7.8,8.8,8.4,16,22,18.6,8,8.3,8.1,524,814,646,0.514,1.24,1,,,,150,1600,399
1373,2003,25,30,27,4,5.4,4.8,4.8,19,11.3,7.6,8,7.8,50000,60000,55333,1.33,2.648,1.989,4,12,8,170,350,257
1373,2004,26,29,27,7.6,10.5,8.6,2.8,3.2,3,7.7,8.6,8.1,,,,,,,,,,960,2400,2040
1373,2005,,,,7.4,9.2,7.9,1.1,3.6,2.5,7.56,8.09,7.802,288,410,340.7,,,,,,,390,2400,1708
1373,2006,25,26,26,7.1,7.6,7.4,1.8,2.1,2,8.4,8.7,8.55,254,284,269,0.1,0.1,0.1,,,,1600,1600,1600
1373,2007,22,29,27,7.5,8.4,7.7,2.1,2.9,2.3,8.1,8.6,8.2,284,328,314,0.1,0.4,0.2,,,,64,1600,1140
1373,2008,24,30,27.3,6.4,8.2,7.2,0.9,2.7,1.5,7.5,8.4,8,260,334,289,0.54,1.22,1,4,14,7,4,210,65
1373,2009,24,32,27,6.5,7.4,7,2.4,5.1,3.2,7.3,8.3,7.8,200,580,359,0.58,1.48,1,4,28,16,14,1100,557
1373,2010,29,29,29,6.1,6.9,6.5,0.8,2.2,1.5,7.6,8.1,7.9,260,280,270,0.32,1.22,1,4,21,12,9,1100,242
1373,2011,32,32,32,6.5,8.1,7.3,0.6,2.4,1.2,7.6,8.2,7.9,264,308,286,0.38,1.66,1,4,4,4,4,21,12
1373,2012,20,30,26,5.3,8.8,6.9,0.4,1.6,1,7.1,8.4,7.8,229,448,281,0.48,2.23,2,4,9,5,4,93,21
1373,2013,19,35,26,6.7,11.6,8.3,0.8,2.2,1.5,8.1,8.6,8.3,231,296,270,0.8,1.69,1,4,9,5,4,23,15
1373,2014,,,,7.7,7.7,7.7,0.6,1.3,0.9,8.3,8.3,8.3,279,279,279,0.48,1.03,1.08,4,4,4,4,9,7
1374,2003,24,27,26,4.6,7.5,6.4,0.5,4.5,2.6,7.2,8,7.5,81,119,99,,,,,,,34,40,37
1374,2004,22,32,26,7,7.9,7.6,5.5,6.8,6.3,7.7,8.4,8.1,,,,,,,,,,2400,2400,2400
1374,2005,,,,5.6,10.7,8.35,3.9,8,5.575,7.3,8.46,7.993,316,548,468,,,,,,,2400,2400,2400
1374,2006,25,25,25,8.9,11.8,10.4,4.6,4.8,4.7,7.9,9.4,8.65,546,566,556,0.3,0.3,0.3,,,,2400,2400,2400
1374,2007,23,31,28,7.9,9.2,8.6,3.4,4.8,4.1,7.6,8.3,8,452,584,528,0.1,1.2,0.5,,,,2400,2400,2400
1374,2008,20,28,25.8,8.1,14,11.2,0.6,2.9,1.2,7.6,8.3,8,388,538,457,0.38,3.33,2.29,4,7,4,4,21,11
1374,2009,24,34,29,6.8,9.1,7.4,0.6,2.6,1.1,7.2,8.6,7.9,290,580,434,0.8,1.88,1,4,4,4,4,14,7
1374,2010,28,28,28,6.5,7.9,7.2,0.5,2.2,1.2,7.4,8.5,7.9,260,380,320,0.58,1.23,1,4,9,5,4,75,14
1374,2011,36,36,36,9,11.3,10.2,0.6,2,1.1,7.9,8,8,264,370,317,0.72,5.48,3,4,4,4,4,14,8
1374,2012,20,31,26,3.3,20.5,8.6,0.6,2.7,1.2,7.1,9.2,8,259,891,503,0.58,6.66,3,4,4,4,4,9,6
